trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.1999999999999997, 'e': 0.059605942708939375}",25,6,15.800803866059859,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.1999999999999997, 'e': 0.058425665964500835}",30,16,28.203243689967415,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.057268760265467365}",25,17,13.586154182115834,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05613476283413374}",25,13,9.186529302863976,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.055023220056407245}",20,12,-10.892405955012903,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.053933687300356026}",25,4,34.205584636772535,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1999999999999997, 'e': 0.052865728738350375}",30,12,33.08509851914422,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272584}",20,10,20.001134446653946,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05079283386489851}",20,7,24.83258473082408,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999997, 'e': 0.04978706836786395}",20,0,29.833919960251315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1999999999999997, 'e': 0.04880121836201297}",25,10,22.144960659097066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999997, 'e': 0.047834889494198375}",30,22,15.62486260016543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1999999999999997, 'e': 0.04688769521998849}",25,14,22.422546470193883,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999997, 'e': 0.04595925664904421}",20,10,12.668059444882463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999997, 'e': 0.04504920239355781}",20,0,27.99062115724436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1999999999999997, 'e': 0.04415716841969287}",35,21,28.11175204807838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1999999999999997, 'e': 0.0432827979019659}",30,16,12.302997460118117,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.1999999999999997, 'e': 0.04242574108051139}",25,7,27.955216800101567,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1999999999999997, 'e': 0.04158565512117317}",20,13,11.58469019166804,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1999999999999997, 'e': 0.04076220397836622}",30,16,-13.162980548086276,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.1999999999999997, 'e': 0.0399550582606539}",30,14,26.539678857350722,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1999999999999997, 'e': 0.03916389509898707}",20,13,13.407196281588226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1999999999999997, 'e': 0.03838839801755206}",25,17,15.089086203555535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1999999999999997, 'e': 0.03762825680717621}",25,8,17.87834897629453,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.1999999999999997, 'e': 0.03688316740124}",20,11,16.125838255228217,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1999999999999997, 'e': 0.03615283175404641}",25,16,15.303693978756355,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1999999999999997, 'e': 0.03543695772159865}",20,7,-21.94419885492927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.1999999999999997, 'e': 0.03473525894473857}",20,0,31.96342934706339,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.1999999999999997, 'e': 0.03404745473459935}",20,2,27.48836286843872,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1999999999999997, 'e': 0.03337326996032609}",20,6,23.924732792335696,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1999999999999997, 'e': 0.03271243493901982}",20,11,18.73744033265285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1999999999999997, 'e': 0.032064685327860776}",20,6,23.70330179895158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
